id,root_id,crewscore,rating,stuffshipped,stuffharvested,oremined,researchdone,eventsendured,powerloss,mess,meals,disease,deadcommand,arrested,traitorswon,roleswon,allarrested,opkilled,disc,nuked,destranomaly,rec_antags,crew_escaped,crew_dead,crew_total,crew_survived,captain,powerbonus,messbonus,deadaipenalty,foodeaten,clownabuse,richestname,richestjob,richestcash,richestkey,dmgestname,dmgestjob,dmgestdamage,dmgestkey
672,49484,3781,Promotions for Everyone,14,163,3178,82,0,3,1190,2,0,2,0,0,1,0,0,0,0,0,0,18,4,62,30,{Natalia Koneva},0,0,0,151,59,Russell Lauffer,Atmospheric Technician,4260,Winli_no_lol,Marco Holmes,Security Officer,0,Rolan228
673,49292,2625,Promotions for Everyone,4,19,877,44,0,3,406,26,0,0,0,0,0,0,0,0,0,0,0,29,1,66,41,{Johnathan Kiefer},0,0,0,229,25,Edwin Carmichael,Station Engineer,6798,Balphagore,Jose Butterfill,Chief Engineer,0,Peperspray
674,49947,-406,A Wretched Heap of Scum and Incompetence,0,48,292,12,0,1,511,47,0,0,0,0,0,0,0,0,0,0,0,8,4,27,17,"",0,0,0,60,2,Steven Koolen,Medical Doctor,9320,WyrmP,"","",0,""
675,49963,5607,Ambassadors of Discovery,0,23,1612,70,0,0,818,13,0,0,0,0,0,0,0,0,0,0,0,15,1,41,18,"",1,0,0,85,11,Mr.Honky,Clown,5141,TheOrangeTim,Joseph Dreyfus,Head of Security,0,Carpo22
676,49578,3526,Promotions for Everyone,1,27,75,13,0,0,186,24,0,0,0,0,0,0,0,0,0,0,0,21,0,33,24,"",1,0,0,26,7,Shivi Soha'ru,Botanist,4220,"",Shivi Soha'ru,Botanist,24,""
677,49755,4281,Promotions for Everyone,5,828,3476,60,0,3,1303,49,0,1,0,0,0,0,1,0,0,0,2,28,7,75,48,{Yui Nisimura},0,0,0,201,1,Dominick Pycroft,Forensic Technician,1003,Hwat1204,Alex Ermakov,"",21,AlexSHIKHOV
678,49565,8266,Ambassadors of Discovery,18,64,2336,56,0,0,519,51,0,0,0,0,0,0,0,0,0,164,0,34,1,60,46,{Kane Thompson},1,0,0,145,0,Kane Thompson,Captain,1520,OlderMan,Kane Thompson,Captain,4,OlderMan
679,49635,3162,Promotions for Everyone,8,58,2136,7,0,1,527,73,0,0,0,0,0,0,0,0,0,0,0,24,1,72,42,{Fanzilia Clark},0,0,0,149,20,Wolter Kefier,Psychiatrist,4025,Snacks Man,Richard Sidner,Test Subject,17,SirMoon
680,49658,1750,Promotions for Everyone,0,19,1915,11,0,23,314,23,0,0,0,0,0,0,0,0,0,0,0,25,1,47,41,{Fin MacDucke},0,0,0,15,19,Artem Byblikov,Head of Personnel,500,HE_APTEM,"","",0,""
681,49575,190,Skillful Servants of Science,8,167,800,44,0,1,2297,51,0,0,0,0,0,0,0,0,0,0,0,25,5,77,32,{Casey Christopher},0,0,0,161,134,Aleksei Rokosovski,Chief Engineer,1450,Saser141,Valentine Kot,Technical Assistant,0,Shootnik01
682,49616,2940,Promotions for Everyone,1,56,94,21,0,0,520,11,0,0,0,0,0,0,0,0,0,0,0,12,1,33,20,"",1,0,0,73,4,Emanuel Parker,Roboticist,10640,Kyky3782,"","",0,""
683,49556,9414,Ambassadors of Discovery,35,605,5656,7,0,2,352,66,0,0,0,0,0,0,0,0,0,0,0,26,1,54,29,"",0,0,0,210,15,Claude Morgan,Head of Personnel,9600,MMDI,"","",0,""
684,49610,3222,Promotions for Everyone,6,28,0,7,0,0,156,28,0,0,0,0,0,0,0,0,0,0,0,2,0,11,2,"",1,0,0,58,1,Seneca Stephenson,Bartender,7029,KurvoAttano,"","",0,""
685,49532,771,Lean Mean Machine Thirteen,0,0,293,57,0,4,562,0,0,0,0,0,0,0,0,0,0,0,0,8,3,20,13,"",0,0,0,30,0,Skyler Cook,"",1750,Haidi,"","",0,""
743,49573,-9993,Singularity Fodder,9,0,1418,45,0,7,3286,12,0,0,0,0,1,0,0,0,0,0,0,0,39,73,36,"",0,0,0,81,69,"","",0,"","","",0,""
686,49970,-104,Outclassed by Lab Monkeys,0,42,575,7,0,18,256,18,0,0,0,0,0,0,0,0,0,0,0,1,1,13,1,{Cassian Winton},0,0,0,27,0,Gatatikikichakiya,Atmospheric Technician,480,FaH3uJIb,"","",0,""
687,49511,2298,Promotions for Everyone,0,127,481,81,0,8,790,48,0,0,0,0,0,0,0,0,0,0,0,22,2,40,32,"",0,0,0,90,11,Ra'Shima Mijsha,Paramedic,1670,Ocsunus,Jason Snyder,Test Subject,22,Xazard
688,49612,4754,Promotions for Everyone,0,32,1593,16,0,0,121,4,0,0,0,0,0,0,0,0,0,0,0,10,0,21,14,"",1,0,0,53,19,Kaylie Pennington,Station Engineer,50370,Stepansamp228pos,"","",0,""
