id,root_id,name,assigned_role,special_role,antag_roles
10096,49582,Ivan Huga,Chaplain,"",
10097,49583,Rudolf Wolf,Scientist,"",
10098,49583,Ivan Huga,Security Cadet,"",
16559,49772,Max Russell,Scientist,"",
16560,49772,Arleen Morris,Station Engineer,"",
16561,49772,Robert Blake,Technical Assistant,"",
16562,49772,Luke Roadman,Botanist,"",
16563,49772,Gatatikikichakiya,Atmospheric Technician,"",
7668,49509,Julian Stafford,Test Subject,"",
7669,49509,Alan Smail,Forensic Technician,"",
7670,49509,Curly Mens,Chaplain,"",
7671,49509,Kyra Vasilyev,Technical Assistant,"",
7672,49509,Eric Isaman,Station Engineer,"",
7673,49509,SoSo,Clown,"",
7674,49509,Sergei Petroff,Mime,"",
7675,49509,maintenance drone (355),Cyborg,"",
7676,49509,Karen,Janitor,"",
7677,49509,Thomas Leech,Test Subject,"",
7678,49509,Wadim Wolkow,Chef,"",
7679,49509,Kaylie Pennington,Security Officer,"",
7680,49510,Colton Moore,Station Engineer,"",
7681,49510,Selena Stewart,Scientist,"",
7682,49510,Holly Clewett,Medical Doctor,"",
16564,49772,Tom Kazansky,Cargo Technician,"",
16565,49772,Sullivan Ward,Technical Assistant,"",
10099,49583,Fanzilia Clark,Detective,"",
