owner_id,id,name,role_name,is_roundstart_role,type,victory,faction_name,mind_name,mind_ckey
14,62,Xenomorph,Xenomorph,0,/datum/role/alien,1,Alien Hivemind,alien facehugger (464),sheoleo
14,63,Xenomorph,Xenomorph,0,/datum/role/alien,1,Alien Hivemind,alien facehugger (101),pimap
14,64,Xenomorph,Xenomorph,0,/datum/role/alien,1,Alien Hivemind,alien facehugger (814),sheoleo
14,65,Xenomorph,Xenomorph,0,/datum/role/alien,1,Alien Hivemind,alien facehugger (414),pimap
14,66,Xenomorph,Xenomorph,0,/datum/role/alien,1,Alien Hivemind,alien facehugger (137),xazard
14,67,Xenomorph,Xenomorph,0,/datum/role/alien,1,Alien Hivemind,alien larva (734),grozaandgrom
14,68,Xenomorph,Xenomorph,0,/datum/role/alien,1,Alien Hivemind,alien facehugger (950),pimap
14,69,Xenomorph,Xenomorph,0,/datum/role/alien,1,Alien Hivemind,alien facehugger (852),xazard
14,70,Xenomorph,Xenomorph,0,/datum/role/alien,1,Alien Hivemind,alien facehugger (108),mmdi
14,71,Xenomorph,Xenomorph,0,/datum/role/alien,1,Alien Hivemind,alien facehugger (945),dekr0s
14,72,Xenomorph,Xenomorph,0,/datum/role/alien,1,Alien Hivemind,alien facehugger (38),morkleb
14,73,Xenomorph,Xenomorph,0,/datum/role/alien,1,Alien Hivemind,alien facehugger (449),grozaandgrom
14,74,Xenomorph,Xenomorph,0,/datum/role/alien,1,Alien Hivemind,alien hunter (803),citizen14376
14,75,Xenomorph,Xenomorph,0,/datum/role/alien,1,Alien Hivemind,alien facehugger (153),pimap
14,76,Xenomorph,Xenomorph,0,/datum/role/alien,1,Alien Hivemind,alien facehugger (540),pimap
14,77,Xenomorph,Xenomorph,0,/datum/role/alien,1,Alien Hivemind,alien facehugger (8),mentaleater
14,78,Xenomorph,Xenomorph,0,/datum/role/alien,1,Alien Hivemind,alien facehugger (159),grozaandgrom
14,79,Xenomorph,Xenomorph,0,/datum/role/alien,1,Alien Hivemind,alien larva (251),sheoleo
14,80,Xenomorph,Xenomorph,0,/datum/role/alien,1,Alien Hivemind,alien facehugger (121),mentaleater
14,81,Xenomorph,Xenomorph,0,/datum/role/alien,1,Alien Hivemind,alien larva (615),pimap
14,82,Xenomorph,Xenomorph,0,/datum/role/alien,1,Alien Hivemind,alien facehugger (431),mmdi
14,83,Xenomorph,Xenomorph,0,/datum/role/alien,1,Alien Hivemind,alien facehugger (867),mmdi
14,84,Xenomorph,Xenomorph,0,/datum/role/alien,1,Alien Hivemind,alien facehugger (215),inkvoid
14,85,Xenomorph,Xenomorph,0,/datum/role/alien,1,Alien Hivemind,alien facehugger (797),mentaleater
14,86,Xenomorph,Xenomorph,0,/datum/role/alien,1,Alien Hivemind,alien facehugger (753),mmdi
14,87,Xenomorph,Xenomorph,0,/datum/role/alien,1,Alien Hivemind,alien facehugger (206),inkvoid
14,88,Xenomorph,Xenomorph,0,/datum/role/alien,1,Alien Hivemind,alien facehugger (570),mmdi
14,89,Xenomorph,Xenomorph,0,/datum/role/alien,1,Alien Hivemind,alien facehugger (848),mmdi
14,90,Xenomorph,Xenomorph,0,/datum/role/alien,1,Alien Hivemind,alien facehugger (910),mmdi
14,91,Xenomorph,Xenomorph,0,/datum/role/alien,1,Alien Hivemind,alien larva (741),mentaleater
14,92,Xenomorph,Xenomorph,0,/datum/role/alien,1,Alien Hivemind,alien queen (156),morkleb
14,93,Xenomorph,Xenomorph,0,/datum/role/alien,1,Alien Hivemind,alien facehugger (183),inkvoid
14,94,Xenomorph,Xenomorph,0,/datum/role/alien,1,Alien Hivemind,alien facehugger (24),inkvoid
14,95,Xenomorph,Xenomorph,0,/datum/role/alien,1,Alien Hivemind,alien larva (223),grozaandgrom
14,96,Xenomorph,Xenomorph,0,/datum/role/alien,1,Alien Hivemind,alien larva (255),smolin
16,97,Wizard,Wizard,1,/datum/role/wizard,0,Wizard Federation,Lord Tetrintol,nechto
17,98,Traitor,Traitor,0,/datum/role/traitor,0,Traitor,Sprinkledinkle,stepansamp228pos
18,99,Traitor,Traitor,1,/datum/role/traitor,0,Traitor,Alpha,valois
18,100,Traitor,Traitor,1,/datum/role/traitor,1,Traitor,Liam O'Shea,onikuru
864,3401,Vox Raider,Vox Raider,1,/datum/role/vox_raider,1,Vox Shoal,Hayakahkicha,vipo24
20,101,Blob Cerebrate,Blob Cerebrate,0,/datum/role/blob_overmind/cerebrate,1,Blob Conglomerate,Blob Overmind (152),speraax
864,3402,Vox Raider,Vox Raider,1,/datum/role/vox_raider,1,Vox Shoal,Hakitiyakah,gon501
