id,uplink_info_id,cost,bundlename,item_type
666,245,2,Syndicate Encryption Key,/obj/item/device/encryptionkey/syndicate
667,245,3,Strip gloves,/obj/item/clothing/gloves/black/strip
668,245,6,Cryptographic Sequencer,/obj/item/weapon/card/emag
669,245,6,Cryptographic Sequencer,/obj/item/weapon/card/emag
670,245,2,Syndicate Smokes,/obj/item/weapon/storage/fancy/cigarettes/cigpack_syndicate
671,246,5,Thermal Imaging Glasses,/obj/item/clothing/glasses/thermal/syndi
672,246,3,Binary Translator Key,/obj/item/device/encryptionkey/binary
673,246,5,EMP Grenades,/obj/item/weapon/storage/box/emps
674,246,7,Energy Sword,/obj/item/weapon/melee/energy/sword/traitor
675,248,4,EMP Flashlight,/obj/item/device/flashlight/emp
676,248,1,Syndicate Briefcase Full of Cash,/obj/item/weapon/storage/secure/briefcase/syndie
